id,Source,worth BUSD, worthChange millions USD
8141,Food and Beverage  ==> Cargill,7,0
5538,Diversified  ==> Samsung,7,0
5251,Fashion & Retail  ==> fashion retail,7,0
5575,Finance and Investments  ==> investments,7,0
2367,"Energy  ==> hotels, energy",7,0
9996,"Metals & Mining  ==> mining, metals, machinery",7,0
8768,Healthcare  ==> health care,7,0
8647,Real Estate  ==> real estate,7,0
8926,Fashion & Retail  ==> Walmart,7,0
5267,Automotive  ==> auto parts,7,0
6345,"Telecom  ==> telecoms, media, oil-services",7,0
1365,Energy  ==> oil,7,0
9489,"Diversified  ==> banking, property",7,0
7182,Real Estate  ==> real estate,7,0
1792,Technology  ==> venture capital,7,0
2420,Telecom  ==> telecom,7,0
3984,Food and Beverage  ==> beverages,7,0
5047,Construction & Engineering  ==> Construction,7,0
8957,"Fashion & Retail  ==> retail, media",7,0
3565,Fashion & Retail  ==> cosmetics,7,0
1000,Finance and Investments  ==> financial services,7,0
2999,Logistics  ==> shipping,7,0
9664,Manufacturing  ==> paints,7,0
4538,Manufacturing  ==> polyester,7,0
8520,Real Estate  ==> real estate,7,0
6729,Food and Beverage  ==> packaging,7,0
6411,Fashion & Retail  ==> luxury goods,7,0
5194,Logistics  ==> shipping,7,0
9392,Food and Beverage  ==> wine,7,0
1736,Energy  ==> oil,6,0
2310,Technology  ==> online games,6,0
3687,Fashion & Retail  ==> Zara,6,0
9211,Diversified  ==> diversified,6,0
2477,Finance and Investments  ==> hedge funds,6,0
4138,Real Estate  ==> real estate,6,0
2513,Fashion & Retail  ==> retail,6,0
9346,Fashion & Retail  ==> supermarkets,6,0
2682,Manufacturing  ==> fertilizer,6,0
2938,"Food and Beverage  ==> food, beverages",6,0
5741,Technology  ==> Google,6,0
7350,"Metals & Mining  ==> aluminum, utilities",6,0
9259,Service  ==> diversified,6,0
3130,Finance and Investments  ==> pharmaceuticals,6,0
8146,Technology  ==> WhatsApp,6,0
3454,Finance and Investments  ==> private equity,6,0
1802,Fashion & Retail  ==> Walmart,6,0
5962,Food and Beverage  ==> candy,6,0
7252,Food and Beverage  ==> packaging,6,0
5301,Food and Beverage  ==> packaging,6,0
3282,"Fashion & Retail  ==> retail, real estate",6,0
9681,"Construction & Engineering  ==> construction, chemicals",6,0
6179,Finance and Investments  ==> banking,6,0
2530,Energy  ==> wind turbines,6,0
8426,Finance and Investments  ==> private equity,6,0
8654,Metals & Mining  ==> mining,6,0
5671,Finance and Investments  ==> hedge funds,6,0
2029,Automotive  ==> automobiles,6,0
6119,Real Estate  ==> real estate,6,0
1051,Fashion & Retail  ==> retail,6,0
7857,Media & Entertainment  ==> advertising,6,0
9522,Finance and Investments  ==> investments,6,0
3492,Real Estate  ==> real estate,6,0
8733,Food and Beverage  ==> soy sauce maker,6,0
4133,Finance and Investments  ==> hedge funds,6,0
6553,Real Estate  ==> real estate,6,0
6841,Real Estate  ==> real estate,6,0
8979,Food and Beverage  ==> consumer goods,6,0
6898,Healthcare  ==> optometry,6,0
2427,Finance and Investments  ==> Quicken Loans,6,0
3325,Diversified  ==> diversified,6,0
8516,Automotive  ==> motorcycles,6,0
7067,Real Estate  ==> real estate,6,0
8029,Automotive  ==> auto parts,6,0
6325,Finance and Investments  ==> investments,6,0
9813,Energy  ==> pipelines,6,0
7687,Sports  ==> New England Patriots,6,0
8880,Fashion & Retail  ==> Ralph Lauren,6,-3
8912,Finance and Investments  ==> banking,6,0
2792,Food and Beverage  ==> consumer goods,6,0
4970,Service  ==> food services,6,0
9118,Fashion & Retail  ==> retail,6,-1
7426,Manufacturing  ==> cement,6,0
3834,Technology  ==> Google,6,0
1552,"Fashion & Retail  ==> textiles, apparel",6,0
5792,Food and Beverage  ==> Cargill,6,0
1919,Diversified  ==> diversified,6,0
9482,Automotive  ==> auto parts,6,0
8985,Finance and Investments  ==> banking,6,0
7126,Diversified  ==> diversified,5,4
8907,"Food and Beverage  ==> beer, investments",5,0
1209,Technology  ==> internet service provider,5,0
7407,Real Estate  ==> shopping malls,5,0
4890,Healthcare  ==> pharmaceuticals,5,0
9000,"Food and Beverage  ==> candy, pet food",5,0
7814,"Food and Beverage  ==> candy, pet food",5,0
9826,"Food and Beverage  ==> candy, pet food",5,0
8783,"Food and Beverage  ==> candy, pet food",5,0
5441,"Diversified  ==> media, retail",5,0
9920,Diversified  ==> food and beverage,5,0
7422,Technology  ==> online games,5,0
2218,Fashion & Retail  ==> Walmart,5,0
8994,Real Estate  ==> real estate,5,0
1369,Fashion & Retail  ==> retail & gas stations,5,0
8349,Energy  ==> investments,5,0
3857,"Logistics  ==> construction, mining",5,0
6082,Manufacturing  ==> furniture,5,0
9280,Fashion & Retail  ==> appliance retailer,5,0
8572,Food and Beverage  ==> tequila,5,0
1818,Technology  ==> computer hardware,5,0
4638,Technology  ==> computer hardware,5,0
5522,Manufacturing  ==> heating equipment,5,0
