Source,worth BUSD, worthChange millions USD,age,gender,country,image,name,position
manufacturing  ==> industrial lasers,1,0,51,male,none,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropx1=187&cropx2=1715&cropy1=102&cropy2=1630,gao yunfeng,1777
fashion & retail  ==> nordstrom department stores,1,0,82,female,usa,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropx1=187&cropx2=1715&cropy1=102&cropy2=1630,anne gittinger,1778
service  ==> easyjet,1,0,47,female,cyprus,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropx1=187&cropx2=1715&cropy1=102&cropy2=1630,clelia haji-ioannou,1779
metals & mining  ==> trust fund,1,0,42,none,none,https://specials-images.forbesimg.com/imageserve/5a7a58834bbe6f2652f4d5f8/416x416.jpg?background=000000&cropx1=1719&cropx2=3114&cropy1=133&cropy2=1529,john hancock,1780
manufacturing  ==> toys,1,0,46,none,none,https://specials-images.forbesimg.com/imageserve/5a9829814bbe6f0fa8270623/416x416.jpg?background=000000&cropx1=0&cropx2=1200&cropy1=177&cropy2=1378,ronnen harary,1781
"construction & engineering  ==> construction, investments",1,0,40,male,lebanon,https://specials-images.forbesimg.com/imageserve/5a7fc0cca7ea4316901330fe/416x416.jpg?background=000000&cropx1=704&cropx2=2590&cropy1=767&cropy2=2654,ayman hariri,1782
"construction & engineering  ==> construction, investments",1,0,38,male,lebanon,https://specials-images.forbesimg.com/imageserve/5a7fc1714bbe6f2652f53601/416x416.jpg?background=000000&cropx1=72&cropx2=1140&cropy1=13&cropy2=1082,fahd hariri,1783
real estate  ==> real estate,1,0,63,none,cyprus,https://specials-images.forbesimg.com/imageserve/70a10d3a91f71d517bdf998b93397feb/416x416.jpg?background=000000&cropx1=2&cropx2=566&cropy1=0&cropy2=564,surendra hiranandani,1784
finance and investments  ==> hedge funds,1,0,54,none,united kingdom,https://specials-images.forbesimg.com/imageserve/1c400b27776030240a1380c018559a12/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=31&cropy2=775,alan howard,1785
diversified  ==> chemicals,1,0,60,male,people's republic of china,https://specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropx1=111&cropx2=591&cropy1=276&cropy2=756,hu keqin,1786
technology  ==> semiconductors,1,0,-2019,none,taiwan,https://specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropx1=111&cropx2=591&cropy1=276&cropy2=756,archie hwang,1787
technology  ==> semiconductors,1,0,84,none,united states,https://specials-images.forbesimg.com/imageserve/5a908e2da7ea434a0c2721a1/416x416.jpg?background=000000&cropx1=441&cropx2=3707&cropy1=0&cropy2=3264,irwin jacobs,1788
service  ==> industrial equipment,1,0,67,male,none,https://specials-images.forbesimg.com/imageserve/5a90919da7ea434a0c2721de/416x416.jpg?background=000000&cropx1=1039&cropx2=1975&cropy1=144&cropy2=1081,mitchell jacobson,1789
finance and investments  ==> banking,1,0,60,none,none,https://specials-images.forbesimg.com/imageserve/59d3e21f31358e542c034603/416x416.jpg?background=000000&cropx1=481&cropx2=1924&cropy1=258&cropy2=1702,rana kapoor,1790
technology  ==> software firm,1,0,50,male,none,https://specials-images.forbesimg.com/imageserve/5a8eee0da7ea431690141ab3/416x416.jpg?background=000000&cropx1=914&cropx2=2463&cropy1=177&cropy2=1725,alexander karp,1791
finance and investments  ==> diversified,1,0,69,none,united kingdom,https://specials-images.forbesimg.com/imageserve/56cc6d3be4b062f6b59a515b/416x416.jpg?background=000000&cropx1=8&cropx2=626&cropy1=229&cropy2=848,raghuvinder kataria,1792
healthcare  ==> pharmaceuticals,1,0,75,male,none,https://specials-images.forbesimg.com/imageserve/5a7f201f4bbe6f2652f52e46/416x416.jpg?background=000000&cropx1=79&cropx2=2442&cropy1=457&cropy2=2819,habil khorakiwala,1793
fashion & retail  ==> retail,1,0,90,male,none,https://specials-images.forbesimg.com/imageserve/5a908cca31358e79a28a1eb7/416x416.jpg?background=000000&cropx1=447&cropx2=2035&cropy1=57&cropy2=1646,sidney kimmel,1794
finance and investments  ==> financial services,1,0,51,male,none,https://specials-images.forbesimg.com/imageserve/5a871ca14bbe6f2652f5c25b/416x416.jpg?background=000000&cropx1=4&cropx2=902&cropy1=83&cropy2=981,andre koo,1795
