id,name,position
2657,sofie kirk kristiansen,357
3315,thomas kirk kristiansen,358
1389,lam wai ying,359
2207,lin xiucheng,360
8392,margarita louis-dreyfus,361
9122,george roberts,362
8722,"edward roski, jr.",363
7588,agnete kirk thinggaard,364
4914,mike adenuga,365
3718,jim davis,366
6363,david filo,367
9786,pansy ho,368
1777,henry kravis,369
9204,emanuele (lino) saputo,370
4143,xu chuanhua,371
4308,alexander abramov,372
1039,israel englander,373
2412,frits goldschmeding,374
8780,marian ilitch,375
3061,bruce kovner,376
7001,george lucas,377
8267,kalanithi maran,378
5789,elisabeth mohn,379
5535,"robert rich, jr.",380
5103,wang chuanfu,381
1176,maria fernanda amorim,382
7789,pyotr aven,383
6891,bernard marcus,384
6047,pedro moreira salles,385
2166,frederick smith,386
5063,ronda stryker,387
7677,richard branson,388
8057,subhash chandra,389
3271,denise coates,390
4952,martha ingram,391
5767,law kar po,392
6408,joe lewis,393
1474,gabriella meister,394
1276,fernando roberto moreira salles,395
9176,joao moreira salles,396
6516,walther moreira salles junior,397
3863,pankaj patel,398
2920,karen pritzker,399
8670,thomas schmidheiny,400
5088,vichai srivaddhanaprabha,401
2811,keiichiro takahara,402
6346,m.a. yusuff ali,403
9327,robert bass,404
4021,marc benioff,405
4516,martin & olivier bouygues,406
6746,chung mong-koo,407
7865,charles dolan,408
3445,ray lee hunt,409
4119,liu yonghao,410
4546,john overdeck,411
7104,ajay piramal,412
4886,"enrique razon, jr.",413
2312,sumner redstone,414
9713,paolo & gianfelice mario rocca,415
7250,reinhold schmieding,416
7511,david siegel,417
5745,andrei skoch,418
3732,yu yong,419
8713,sam zell,420
7233,zhou jianping,421
1109,bajaj brothers,422
7090,garrett camp,423
8045,bubba cathy,424
7885,dan cathy,425
8286,fu liquan,426
4643,philip & cristina green,427
8025,mikhail gutseriev,428
6718,"rupert johnson, jr.",429
5397,travis kalanick,430
4757,andrei kozitsyn,431
6976,horst paulmann,432
9770,julio ponce lerou,433
4027,trevor rees-jones,434
9456,mark scheinberg,435
2170,jeffrey skoll,436
8237,murat ulker,437
6127,daniel ziff,438
6930,dirk ziff,439
8164,robert ziff,440
3394,juergen blickle,441
8471,bernard broermann,442
2254,clive calder,443
7993,stanley druckenmiller,444
8398,ted lerner,445
3132,li shuirong,446
1897,lim kok thay,447
7535,niels peter louis-hansen,448
5919,fredrik lundberg,449
5506,gwendolyn sontheim meyer,450
4713,j. christopher reyes,451
2470,jude reyes,452
8865,alexandra schoerghuber,453
5017,sheldon solow,454
1520,lucio tan,455
7777,majid al futtaim,456
7673,andrej babis,457
2876,dona bertarelli,458
1286,cai kui,459
1692,bidzina ivanishvili,460
7414,"jeremy jacobs, sr.",461
7700,chris larsen,462
8338,patrick lee,463
7137,liang wengen,464
8657,denis o'brien,465
8689,kapil & rahul bhatia,466
6441,jean-pierre cayard,467
3791,chey tae-won,468
4373,fang wei,469
9083,andrei guriev,470
3861,bertil hult,471
1123,ji changqun,472
3604,"paul tudor jones, ii.",473
1661,robert miller,474
3200,sergei popov,475
9515,juan roig,476
4221,john sall,477
5172,leonard stern,478
8354,ye chenghai,479
1631,anthony bamford,480
6016,chu mang yee,481
5832,juan carlos escotet,482
1304,miguel fluxa rossello,483
5914,andrew forrest,484
5214,paul gauselmann,485
9848,tamara gustavson,486
4568,micky jagtiani,487
9576,johan johannson,488
3472,richard li,489
8125,john morris,490
9331,theo mueller,491
6897,akio nitori,492
9128,wolfgang reimann,493
8098,matthias reimann-andersen,494
5812,stefan reimann-andersen,495
8030,renate reimann-haas,496
8178,robert smith,497
3112,russ weiner,498
9606,jeronimo arango,499
5779,rahul bajaj,500
8842,rainer blickle,501
1966,rocco commisso,502
4752,giuseppe de'longhi,503
2543,tilman fertitta,504
3899,nathan kirsh,505
4171,terrence pegula,506
2654,robert pera,507
3906,gary rollins,508
3064,randall rollins,509
1614,alejandro santo domingo,510
7672,andres santo domingo,511
1255,pham nhat vuong,512
2913,roger wang,513
9845,stephen bisciotti,514
2788,"austen cargill, ii.",515
2542,"james cargill, ii.",516
1060,archie aldis emmerson,517
2558,antti herlin,518
2394,sumet jiaravanon,519
7080,lars larsen,520
7980,marianne liebmann,521
1150,bobby murphy,522
5162,igor olenicoff,523
2537,"walter scott, jr.",524
4044,"clemmie spangler, jr.",525
7103,wang yusuo,526
2308,carl bennet,527
9907,arthur blank,528
1882,jaran chiaravanont,529
9614,jack & laura dangermond,530
7045,fan hongwei,531
9593,john gandel,532
7966,james jannard,533
4192,montri jiaravanont,534
8963,samuel tak lee,535
4405,pawan munjal,536
2371,axel oberwelland,537
9120,james packer,538
