id,age,gender,country,image,name,position,Source,worth BUSD, worthChange millions USD
3346,72,Male,None,https://specials-images.forbesimg.com/imageserve/5ac2576ba7ea432fbc1dc9a5/416x416.jpg?background=000000&cropX1=4&cropX2=2258&cropY1=9&cropY2=2262,soichiro fukutake,1775,Service  ==> education,1,0
5382,53,Male,None,https://specials-images.forbesimg.com/imageserve/5a971fefa7ea434a0c279871/416x416.jpg?background=000000&cropX1=80&cropX2=858&cropY1=571&cropY2=1348,don gao,1776,Manufacturing  ==> power tools,1,0
1696,51,Male,None,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropX1=187&cropX2=1715&cropY1=102&cropY2=1630,gao yunfeng,1777,Manufacturing  ==> industrial lasers,1,0
8905,82,Female,USA,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropX1=187&cropX2=1715&cropY1=102&cropY2=1630,anne gittinger,1778,Fashion & Retail  ==> Nordstrom department stores,1,0
9056,47,Female,Cyprus,https://specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropX1=187&cropX2=1715&cropY1=102&cropY2=1630,clelia haji-ioannou,1779,Service  ==> EasyJet,1,0
9640,42,None,None,https://specials-images.forbesimg.com/imageserve/5a7a58834bbe6f2652f4d5f8/416x416.jpg?background=000000&cropX1=1719&cropX2=3114&cropY1=133&cropY2=1529,john hancock,1780,Metals & Mining  ==> trust fund,1,0
5183,46,None,None,https://specials-images.forbesimg.com/imageserve/5a9829814bbe6f0fa8270623/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=177&cropY2=1378,ronnen harary,1781,Manufacturing  ==> toys,1,0
9578,40,Male,Lebanon,https://specials-images.forbesimg.com/imageserve/5a7fc0cca7ea4316901330fe/416x416.jpg?background=000000&cropX1=704&cropX2=2590&cropY1=767&cropY2=2654,ayman hariri,1782,"Construction & Engineering  ==> construction, investments",1,0
2018,38,Male,Lebanon,https://specials-images.forbesimg.com/imageserve/5a7fc1714bbe6f2652f53601/416x416.jpg?background=000000&cropX1=72&cropX2=1140&cropY1=13&cropY2=1082,fahd hariri,1783,"Construction & Engineering  ==> construction, investments",1,0
6868,63,None,Cyprus,https://specials-images.forbesimg.com/imageserve/70a10d3a91f71d517bdf998b93397feb/416x416.jpg?background=000000&cropX1=2&cropX2=566&cropY1=0&cropY2=564,surendra hiranandani,1784,Real Estate  ==> real estate,1,0
6556,54,None,United Kingdom,https://specials-images.forbesimg.com/imageserve/1c400b27776030240a1380c018559a12/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775,alan howard,1785,Finance and Investments  ==> hedge funds,1,0
8022,60,Male,People's Republic of China,https://specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropX1=111&cropX2=591&cropY1=276&cropY2=756,hu keqin,1786,Diversified  ==> chemicals,1,0
7657,2020,None,Taiwan,https://specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropX1=111&cropX2=591&cropY1=276&cropY2=756,archie hwang,1787,Technology  ==> semiconductors,1,0
9469,84,None,United States,https://specials-images.forbesimg.com/imageserve/5a908e2da7ea434a0c2721a1/416x416.jpg?background=000000&cropX1=441&cropX2=3707&cropY1=0&cropY2=3264,irwin jacobs,1788,Technology  ==> semiconductors,1,0
7366,67,Male,None,https://specials-images.forbesimg.com/imageserve/5a90919da7ea434a0c2721de/416x416.jpg?background=000000&cropX1=1039&cropX2=1975&cropY1=144&cropY2=1081,mitchell jacobson,1789,Service  ==> industrial equipment,1,0
8347,60,None,None,https://specials-images.forbesimg.com/imageserve/59d3e21f31358e542c034603/416x416.jpg?background=000000&cropX1=481&cropX2=1924&cropY1=258&cropY2=1702,rana kapoor,1790,Finance and Investments  ==> banking,1,0
1563,50,Male,None,https://specials-images.forbesimg.com/imageserve/5a8eee0da7ea431690141ab3/416x416.jpg?background=000000&cropX1=914&cropX2=2463&cropY1=177&cropY2=1725,alexander karp,1791,Technology  ==> software firm,1,0
6500,69,None,United Kingdom,https://specials-images.forbesimg.com/imageserve/56cc6d3be4b062f6b59a515b/416x416.jpg?background=000000&cropX1=8&cropX2=626&cropY1=229&cropY2=848,raghuvinder kataria,1792,Finance and Investments  ==> diversified,1,0
5694,75,Male,None,https://specials-images.forbesimg.com/imageserve/5a7f201f4bbe6f2652f52e46/416x416.jpg?background=000000&cropX1=79&cropX2=2442&cropY1=457&cropY2=2819,habil khorakiwala,1793,Healthcare  ==> pharmaceuticals,1,0
9885,90,Male,None,https://specials-images.forbesimg.com/imageserve/5a908cca31358e79a28a1eb7/416x416.jpg?background=000000&cropX1=447&cropX2=2035&cropY1=57&cropY2=1646,sidney kimmel,1794,Fashion & Retail  ==> retail,1,0
8188,51,Male,None,https://specials-images.forbesimg.com/imageserve/5a871ca14bbe6f2652f5c25b/416x416.jpg?background=000000&cropX1=4&cropX2=902&cropY1=83&cropY2=981,andre koo,1795,Finance and Investments  ==> financial services,1,0
8611,69,None,None,https://specials-images.forbesimg.com/imageserve/5b15b5614bbe6f74868b92af/416x416.jpg?background=000000&cropX1=591&cropX2=2616&cropY1=89&cropY2=2113,koo bon-neung,1796,Manufacturing  ==> electronics,1,0
4255,57,Male,None,https://specials-images.forbesimg.com/imageserve/5a809208a7ea4316901339df/416x416.jpg?background=000000&cropX1=6&cropX2=1302&cropY1=3&cropY2=1300,andrei kosogov,1797,"Energy  ==> oil, banking, telecom",1,0
5883,55,Male,None,https://specials-images.forbesimg.com/imageserve/fb4206d4db22b05fd5eaa50cd0f6a15f/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=61&cropY2=802,lee ho-jin,1798,Diversified  ==> diversified,1,0
9512,73,Male,None,https://specials-images.forbesimg.com/imageserve/58a0ef894bbe6f0e55869de6/416x416.jpg?background=000000&cropX1=2&cropX2=643&cropY1=3&cropY2=644,solomon lew,1799,Fashion & Retail  ==> retail,1,0
6291,63,Male,None,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropX1=118&cropX2=1352&cropY1=238&cropY2=1473,rodney lewis,1800,Energy  ==> natural gas,1,0
1178,54,Male,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropX1=118&cropX2=1352&cropY1=238&cropY2=1473,li jiaquan,1801,Manufacturing  ==> chemicals,1,0
8766,57,None,None,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropX1=118&cropX2=1352&cropY1=238&cropY2=1473,lin fanlian,1802,Energy  ==> gas,1,0
5489,55,Male,None,https://specials-images.forbesimg.com/imageserve/56c704e4e4b062f6b59a187d/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=208&cropY2=951,lin jianhua,1803,Manufacturing  ==> solar panel components,1,0
7472,55,Male,None,https://specials-images.forbesimg.com/imageserve/5628f9d6e4b0ffa7afe624d4/416x416.jpg?background=000000&cropX1=79&cropX2=744&cropY1=3&cropY2=669,lin tianfu,1804,"Fashion & Retail  ==> footwear, apparel",1,0
9646,38,Female,None,https://specials-images.forbesimg.com/imageserve/5628f9d6e4b0ffa7afe624d4/416x416.jpg?background=000000&cropX1=79&cropX2=744&cropY1=3&cropY2=669,louise lindh,1805,Diversified  ==> investments,1,0
1186,65,Male,China,https://specials-images.forbesimg.com/imageserve/0cbb1af7d866aae7ae316d58d6f367e8/416x416.jpg?background=000000&cropX1=81&cropX2=741&cropY1=5&cropY2=666,liu baolin,1806,Fashion & Retail  ==> pharmacies,1,0
7331,84,None,Spain,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropX1=849&cropX2=3365&cropY1=0&cropY2=2517,jose llado fernandez-urrutia,1807,Construction & Engineering  ==> construction,1,0
1352,2020,None,China,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropX1=849&cropX2=3365&cropY1=0&cropY2=2517,lu di,1808,Technology  ==> drones,1,0
