id,name,position,Unnamed: 0
5249,shigENOBU NAGAMORI,330.0,381
9637,steven Rales,331.0,382
4689,friede SPRInger,332.0,383
5893,yeung KIN-MAN,333.0,384
6564,rinat AKHMEtov,334.0,385
2975,sHARI ARISON,335.0,386
1619,dannINE AVARA,336.0,387
1638,raheL BLOCHer,337.0,388
9716,aNDREW CURrie,338.0,389
5732,scott DUNcan,339.0,390
5178,mILANE FRANTZ,340.0,391
4863,DIANE HENDRIcks,341.0,392
9761,magdALENA MARTULLO-BLOCHEr,342.0,393
9156,hiroSHI MIKITANi,343.0,394
1632,gabE NEWell,344.0,395
8415,pan SUTOng,345.0,396
8207,anthONY PRATT,346.0,397
7096,jOHN REEce,347.0,398
4847,randa WILLIAMs,348.0,399
8475,zhang BAngxin,349.0,400
1427,zhaNG SHIPINg,350.0,401
9557,jEAN-MICHEL BESNIER,351.0,402
9584,marie BESNIER BEAUVAlot,352.0,403
2984,richarD DEVOS,353.0,404
7482,michaeL Herz,354.0,405
4954,WOLFGANG HErz,355.0,406
6706,kjeld kirk KRISTIANSEN,356.0,407
2657,SOFIE KIRK KRistiansen,357.0,408
3315,thOMAS KIRK KRistiansen,358.0,409
1389,lam WAI YIng,359.0,410
2207,lin XIUCheng,360.0,411
8392,margariTA LOUIS-DREYFUS,361.0,412
9122,geoRGE ROBErts,362.0,413
8722,"EDWARD ROSKI, JR.",363.0,414
7588,agnete kiRK THINGGAARD,364.0,415
4914,mike ADENUGA,365.0,416
3718,jiM DAVIS,366.0,417
6363,dAVID FILo,367.0,418
9786,PANSY HO,368.0,419
1777,henRY KRAVIS,369.0,420
9204,emanueLE (LINO) Saputo,370.0,421
4143,xu cHUANHUA,371.0,422
4308,alexandER ABRAMOV,372.0,423
1039,israel ENGLANder,373.0,424
2412,frits GOLDSChmeding,374.0,425
8780,mariAN ILITch,375.0,426
3061,bruce KOVNer,376.0,427
7001,gEORGE LUCAS,377.0,428
8267,kalanitHI MARan,378.0,429
5789,elisaBETH MOHn,379.0,430
5535,"robERT RICH, JR.",380.0,431
5103,wang CHUANFu,381.0,432
1176,maRIA FERNANDA AMORim,382.0,433
7789,pYOTR AVEN,383.0,434
6891,berNARD MARCus,384.0,435
6047,pedrO MOREIRA SALLES,385.0,436
2166,frEDERICK SMITH,386.0,437
5063,roNDA STRYker,387.0,438
7677,RICHARD BRANSON,388.0,439
8057,subhasH CHANDRA,389.0,440
3271,DENISE COATES,390.0,441
4952,martha INGRAm,391.0,442
5767,law KAR po,392.0,443
6408,joe LEWIs,393.0,444
1474,GABRIELLA MEISTer,394.0,445
1276,fernaNDO ROBERTO MOREIRA salles,395.0,446
9176,joao mOREIRA SALLES,396.0,447
6516,walther mOREIRA SALles junior,397.0,448
3863,panKAJ Patel,398.0,449
2920,kareN PRItzker,399.0,450
8670,thomas SCHMidheiny,400.0,451
5088,vichai sRIVADDHANAPRABHa,401.0,452
2811,keiichiRO TAKAHARa,402.0,453
6346,m.a. yuSUFf ali,403.0,454
9327,ROBERT BAss,404.0,455
4021,marC BENIOFF,405.0,456
4516,martin & oliVIER BOUygues,406.0,457
6746,chUNG MONG-KOO,407.0,458
7865,cHARLES DOLAN,408.0,459
3445,raY LEE hunt,409.0,460
4119,LIU YONGHao,410.0,461
4546,JOHN OVERDECK,411.0,462
7104,ajAY PIRAMAL,412.0,463
4886,"enriQUE RAZON, jr.",413.0,464
2312,sumner REDSTONE,414.0,465
9713,paolo & gianFELICE mario rocca,415.0,466
7250,reinhoLD SCHMIEding,416.0,467
7511,david SIEgel,417.0,468
5745,aNDREI SKOch,418.0,469
3732,yu YONG,419.0,470
8713,sam ZELL,420.0,471
7233,zhoU JIANPing,421.0,472
1109,bAJAJ BROthers,422.0,473
7090,garreTT CAMp,423.0,474
8045,bubba CAthy,424.0,475
7885,dan CATHY,425.0,476
8286,fu LIQUan,426.0,477
4643,phILIP & CRISTina green,427.0,478
8025,mikhail GUTSERIEv,428.0,479
6718,"rUPERT JOHNSON, jr.",429.0,480
5397,tRAVIS KALANICk,430.0,481
4757,andrEI KOZitsyn,431.0,482
6976,horST PAULMAnn,432.0,483
9770,juLIO PONCE LERou,433.0,484
4027,TREVOR REES-JONEs,434.0,485
9456,marK SCHEINBERG,435.0,486
2170,jefFREY SKOll,436.0,487
8237,muraT ULKEr,437.0,488
6127,daNIEL Ziff,438.0,489
6930,dIRK ZIff,439.0,490
8164,rOBERT Ziff,440.0,491
3394,juergen BLICKLE,441.0,492
8471,berNARD BROErmann,442.0,493
2254,cliVE CALder,443.0,494
7993,stanLEY DRUCKENmiller,444.0,495
8398,ted LERNER,445.0,496
3132,li shUIROng,446.0,497
1897,lIM KOK THay,447.0,498
7535,nIELS PETER LOUIS-HANSen,448.0,499
5919,frEDRIK LUNDBErg,449.0,500
5506,gwendOLYN SONTHEIM meyer,450.0,501
4713,j. chrISTOPHEr reyes,451.0,502
2470,jude REYES,452.0,503
8865,alexandra SCHOerghuber,453.0,504
5017,sHELDON SOLow,454.0,505
1520,luciO Tan,455.0,506
7777,majID AL FUTTAIm,456.0,507
7673,anDREJ BABIs,457.0,508
2876,dona beRTARELLi,458.0,509
1286,caI KUI,459.0,510
1692,biDZINA IVANISHVILI,460.0,511
7414,"jereMY JACOBS, SR.",461.0,512
7700,chris LArsen,462.0,513
8338,patRICK lee,463.0,514
7137,lIANG WENGEN,464.0,515
8657,dENIS O'brien,465.0,516
8689,kapil & RAHUL BHATia,466.0,517
6441,jeaN-PIERRE CAYArd,467.0,518
3791,chey tAE-won,468.0,519
4373,faNG WEi,469.0,520
9083,andrei GURIEV,470.0,521
3861,bertIL Hult,471.0,522
1123,JI CHANGQun,472.0,523
3604,"paul TUDOR JONES, II.",473.0,524
1661,roBERT MILler,474.0,525
3200,sERGEI POpov,475.0,526
9515,juAN ROIG,476.0,527
4221,joHN Sall,477.0,528
5172,leonaRD STERN,478.0,529
8354,yE CHENGhai,479.0,530
1631,aNTHONY BAMFOrd,480.0,531
6016,chu MANG yee,481.0,532
5832,juAN CARLOS ESCOTet,482.0,533
1304,miGUEL FLUXA ROSSEllo,483.0,534
5914,andrew FORRESt,484.0,535
5214,paul GAUSELMAnn,485.0,536
9848,tamarA GUSTavson,486.0,537
4568,micky JAGTIAni,487.0,538
9576,JOHAN JOHANNSON,488.0,539
3472,richARD li,489.0,540
8125,jOHN MORRIS,490.0,541
9331,theo MUEller,491.0,542
6897,akIO NItori,492.0,543
9128,wolfganG REIMANN,493.0,544
8098,MATTHIAS REIMANN-ANDERSen,494.0,545
5812,stEFAN REIMANN-ANdersen,495.0,546
8030,renate REIMANN-haas,496.0,547
8178,robert SMITH,497.0,548
3112,rusS WEINer,498.0,549
9606,jeroNIMO ARango,499.0,550
5779,rahul BAjaj,500.0,551
8842,rainer BLIckle,501.0,552
1966,rocco cOMmisso,502.0,553
4752,giusePPE DE'LONGHi,503.0,554
2543,TILMAN FErtitta,504.0,555
3899,nathaN KIrsh,505.0,556
4171,TERRENCE PEGULA,506.0,557
2654,ROBERT Pera,507.0,558
3906,gary ROLLINS,508.0,559
3064,ranDALL Rollins,509.0,560
1614,aLEJANDRO SANTO DOMINgo,510.0,561
7672,andRES SANTO DOMINGo,511.0,562
1255,phaM NHAT VUong,512.0,563
2913,roGER Wang,513.0,564
9845,sTEPHEN BISCIOtti,514.0,565
2788,"austeN CARGILL, II.",515.0,566
2542,"jamES CARGILL, ii.",516.0,567
1060,archie ALDIS emmerson,517.0,568
2558,antti HERLIN,518.0,569
2394,sumET JIARAVanon,519.0,570
7080,larS LARSen,520.0,571
7980,marianNE LIEbmann,521.0,572
1150,BOBBY MURPHY,522.0,573
5162,iGOR OLENICOFF,523.0,574
2537,"WALTER SCOTT, jr.",524.0,575
4044,"cLEMMIE SPANGler, jr.",525.0,576
7103,wang YUSUo,526.0,577
2308,carl BENnet,527.0,578
9907,ARTHUR BLANK,528.0,579
1882,jaran cHIARavanont,529.0,580
9614,jack & LAURA Dangermond,530.0,581
7045,fan HONgwei,531.0,582
9593,jOHN GAndel,532.0,583
7966,jamES JANNArd,533.0,584
4192,montri JIARAVANOnt,534.0,585
8963,sAMUEL TAK lee,535.0,586
4405,pawan MUNJAl,536.0,587
2371,axel oBERWELLAND,537.0,588
9120,JAMES PAcker,538.0,589
7613,isaac peRLMutter,539.0,590
5559,"h. ross PEROt, sr.",540.0,591
8803,micHAEL PIEPER,541.0,592
6858,thoMAS PRITZKER,542.0,593
8381,"juliaN ROBERTson, jr.",543.0,594
4228,renzO ROSso,544.0,595
9194,hussain SAJWANI,545.0,596
7277,yasumitsU Shigeta,546.0,597
1885,evaN SPIEGEL,547.0,598
2945,WANG XIng,548.0,599
8955,keLCY WARREn,549.0,600
4176,ben ASHKENAZy,550.0,601
1145,ursulA BECHTOLSHEIMer-kipp,551.0,602
3616,otto pHILIPP Braun,552.0,603
4442,che JIANXING,553.0,604
2376,daGMAR Dolby,554.0,605
5308,trauDL ENGELHORN,555.0,606
8759,dan frIEDKIN,556.0,607
1211,SERGEI GALITSKy,557.0,608
8537,huANG RULUN,558.0,609
2446,ERMAN ILIcak,559.0,610
3011,roNALD LAUder,560.0,611
2399,micheL LECLERCq,561.0,612
1541,michaeL MORitz,562.0,613
5004,issad REbrab,563.0,614
3983,nAGUIB SAWiris,564.0,615
7592,richard SCHULZE,565.0,616
7795,b.r. SHEtty,566.0,617
6612,jeff SUtton,567.0,618
8008,toNY TAN CAKTIOng,568.0,619
4884,yu HUIJiao,569.0,620
2713,ZHANG XUEXIn,570.0,621
5616,zhanG YIming,571.0,622
1340,sUHAIL BAhwan,572.0,623
9711,ricK CARUSo,573.0,624
1576,tom GORES,574.0,625
6351,peteR HARGReaves,575.0,626
5631,danIELA Herz,576.0,627
5725,guentER Herz,577.0,628
5902,masatOSHI ito,578.0,629
3223,barrY LAm,579.0,630
7731,sUDHIR & SAMIr mehta,580.0,631
1596,raVI PILLAI,581.0,632
5399,stewart aND LYNDA RESNick,582.0,633
7963,jerry SPeyer,583.0,634
1937,harry STINE,584.0,635
6423,gEORGE Ty,585.0,636
7750,steven UDVAr-hazy,586.0,637
1184,christOPH ZELLER,587.0,638
9968,naTHAN BLECHARczyk,588.0,639
4234,hubert BURDa,589.0,640
2761,cheN DONGSHeng,590.0,641
5173,BRIAN CHEsky,591.0,642
4680,gustaf DOUGLAs,592.0,643
6780,joe GEBBIA,593.0,644
1391,peter GILGan,594.0,645
4022,jeff GREENe,595.0,646
2801,jiANG WEIPIng,596.0,647
3479,dominIKA & SEBASTIAN KULCzyk,597.0,648
9947,li Wa,598.0,649
8472,robERT MCNAir,599.0,650
4611,masAHIRO MIKi,600.0,651
1199,kathARINA OTTO-BErnstein,601.0,652
3124,irA RENNErt,602.0,653
9736,henRY SAMUELI,603.0,654
4532,ZENG FANGQIn,604.0,655
9712,zhANG Jin,605.0,656
8275,nick CAPORELla,606.0,657
2764,marK CUBAN,607.0,658
4512,keN FISher,608.0,659
1852,jaiME GILINSKI BACAL,609.0,660
5360,andrEAS HALVORSEN,610.0,661
7072,H. FISK JOHNson,611.0,662
6034,imOGENE POWERs johnson,612.0,663
3619,s. CURTIS JOHNson,613.0,664
4785,heleN JOHNSON-LEipold,614.0,665
1402,winifred jOHNSon-marquart,615.0,666
9077,viATCHESLAV kantor,616.0,667
5704,samveL KARAPETyan,617.0,668
1530,marc ladREIT DE LACHARRIEre,618.0,669
6041,aNGELA LEOng,619.0,670
2570,li GAITEng,620.0,671
4649,manGAL PRABHAT LODha,621.0,672
9248,miCHAEL Milken,622.0,673
3907,yURI MILNer,623.0,674
2754,andreas STRUENGMann,624.0,675
8740,thomas stRUengmann,625.0,676
2269,tSE PIng,626.0,677
2122,yitZHAK TSHUva,627.0,678
3950,samUEL YIN,628.0,679
9565,micHAEL ASHley,629.0,680
8576,caO LONGXIANg,630.0,681
8120,jefFERY HILDEBrand,631.0,682
1268,jiANG RENSHENg,632.0,683
3713,"edward jOHNSON, iv.",633.0,684
6235,elizabeTH JOHNSon,634.0,685
7624,pETER KELLOGG,635.0,686
8881,LIM SUNG-ki,636.0,687
6367,friEDHELM loh,637.0,688
5620,kiran MAZUMdar-shaw,638.0,689
3755,idAN Ofer,639.0,690
3292,karsaNBHAI Patel,640.0,691
6977,qin YINGLin,641.0,692
2280,qIU GUANGhe,642.0,693
2439,sarath RATANavadi,643.0,694
4687,roDGER RINEY,644.0,695
7416,steven SPIELberg,645.0,696
9707,gabriele VOLKMANN,646.0,697
9911,arnE WILHELMSEN,647.0,698
5703,xu JINGRen,648.0,699
7718,zhaNG LI,649.0,700
4260,zhANG XIN,650.0,701
5699,anita ZUCKer,651.0,702
6614,carlo BENEtton,652.0,703
7570,giLBERTO BENETTon,653.0,704
6269,giuliaNA BENETTON,654.0,705
7928,lUCIANO BEnetton,655.0,706
7041,cheN BANG,656.0,707
6174,kuldip SINGH & GURBACHAN SINGH DHIngra,657.0,708
6936,ABILIO DOS SANTOS diniz,658.0,709
9931,bernARD ECCLEStone,659.0,710
8337,jUDY FAULKNER,660.0,711
2579,gAO TIAnguo,661.0,712
4562,joshuA HArris,662.0,713
